ind  dTS  dFNET CESS_fsnt CESS_flnt CESS_fnet 
ind175 2.049 -3.466 1.95434 0.45385 0.59112
ind176 2.083 -4.096 3.92241 0.45009 0.50844
ind177 2.116 -3.918 2.43118 0.44183 0.53996
ind178 2.094 -3.652 1.58714 0.42121 0.57338
ind179 2.103 -4.447 3.65820 0.41878 0.47292
ind180 2.076 -3.703 2.31011 0.45117 0.56067
ind181 2.036 -3.664 8.16678 0.52034 0.55574
ind182 2.069 -4.048 10.45160 0.48727 0.51110
ind183 2.073 -3.768 2.95526 0.46393 0.55032
ind184 2.117 -4.265 3.48096 0.43436 0.49629
ind185 2.122 -3.929 2.95782 0.45682 0.54026
ind186 2.048 -4.082 -16.17222 0.51769 0.50163
ind187 2.093 -4.624 -2.37587 0.55920 0.45266
ind188 2.095 -4.037 3.03886 0.44323 0.51891
ind189 2.130 -4.060 5.79842 0.48111 0.52464
ind190 2.084 -4.234 8.30115 0.46458 0.49213
ind191 2.088 -4.261 -2.91145 0.58901 0.48990
ind192 2.104 -4.419 -2.91574 0.56917 0.47621
ind193 2.117 -3.945 3.78459 0.46985 0.53645
ind194 2.128 -3.910 2.50001 0.44700 0.54432
ind195 2.084 -3.989 2.20227 0.42227 0.52245
ind196 2.064 -4.035 6.49138 0.47411 0.51147
ind197 2.072 -4.119 2.74989 0.42522 0.50300
ind198 2.063 -4.512 -2.92403 0.54189 0.45717
ind199 2.075 -4.317 5.48822 0.44200 0.48072
ind200 2.102 -4.121 3.68410 0.44815 0.51021
ind201 2.090 -4.316 4.67911 0.43890 0.48433
ind202 2.120 -4.144 4.78717 0.46213 0.51151
ind203 2.080 -4.467 7.95121 0.43981 0.46556
ind204 2.096 -3.717 4.68158 0.50326 0.56388
ind205 2.090 -4.471 4.26707 0.42135 0.46751
ind206 2.091 -4.489 -2.17963 0.59235 0.46577
ind207 2.099 -4.749 -2.17184 0.55509 0.44210
ind208 2.045 -4.926 -1.68917 0.55024 0.41504
ind209 2.074 -4.085 -7.07724 0.54700 0.50775
ind210 2.061 -3.663 3.07429 0.47559 0.56263
ind211 2.102 -3.624 5.30898 0.52299 0.58013
ind212 2.124 -3.910 16.45769 0.52589 0.54325
ind213 2.116 -4.940 -1.63638 0.58014 0.42830
ind214 2.100 -3.863 2.04707 0.42961 0.54372
ind215 2.106 -4.217 5.31131 0.45657 0.49950
ind216 2.034 -4.135 6.53169 0.45746 0.49191
ind217 2.077 -4.319 -2.12666 0.62135 0.48086
ind218 2.075 -4.295 -2.87910 0.58039 0.48302
ind219 2.094 -3.534 3.10349 0.49753 0.59252
ind220 2.116 -4.384 -3.65345 0.55612 0.48265
ind221 2.092 -3.963 371.39214 0.52707 0.52782
ind222 2.105 -4.185 3.23558 0.43527 0.50293
ind223 2.109 -4.555 -2.42448 0.57222 0.46295
ind224 2.073 -3.300 2.88373 0.51582 0.62819
ind225 2.088 -4.049 17.12959 0.50070 0.51577
ind226 2.045 -4.151 -3.59665 0.57072 0.49256
ind227 2.074 -4.438 -2.90881 0.55694 0.46744
ind228 2.094 -3.718 1.59369 0.41619 0.56330
ind229 2.120 -4.154 2.53432 0.42477 0.51030
ind230 2.101 -4.536 4.35126 0.41863 0.46320
ind231 2.108 -3.953 1.93620 0.41816 0.53334
ind232 2.086 -4.516 -2.81950 0.55225 0.46180
ind233 2.078 -4.165 -26.24748 0.50843 0.49877
ind234 2.030 -4.104 -3.28134 0.58241 0.49462
ind235 2.140 -4.071 2.55820 0.43601 0.52559
ind236 2.128 -3.582 8.03348 0.55315 0.59405
ind237 2.161 -3.663 2.11604 0.46132 0.58993
ind238 2.113 -3.969 1.89104 0.41535 0.53226
ind239 2.100 -4.480 6.54195 0.43730 0.46863
ind240 2.050 -5.033 -1.40658 0.57318 0.40723
ind241 2.103 -4.702 -2.17436 0.56289 0.44713
ind242 2.079 -4.114 5.70135 0.46429 0.50545
ind243 2.097 -3.999 -11.32244 0.55000 0.52452
ind244 2.059 -4.491 -3.20172 0.53497 0.45838
ind245 2.087 -3.943 2.66060 0.44152 0.52937
ind246 2.118 -4.293 4.64469 0.44594 0.49330
ind247 2.067 -4.174 4.38334 0.44500 0.49528
ind248 2.093 -3.975 2.69543 0.44058 0.52667
ind249 2.078 -4.517 4.20637 0.41481 0.46019
ind250 2.168 -4.376 4.34477 0.44479 0.49551
ind251 2.081 -4.348 7.26957 0.44898 0.47854
ind252 2.112 -3.949 2.78280 0.44869 0.53494
ind253 2.037 -3.664 4.74968 0.49776 0.55603
ind254 2.109 -4.047 3.44394 0.45266 0.52116
ind255 2.074 -4.947 -1.39439 0.59956 0.41928
ind256 2.136 -3.780 2.32476 0.45456 0.56504
ind257 2.082 -4.587 -1.88927 0.59763 0.45401
ind258 2.102 -3.727 1.77031 0.42771 0.56396
ind259 2.120 -3.905 -7.08462 0.58805 0.54298
ind260 2.068 -4.560 -1.75352 0.61189 0.45361
ind261 2.078 -4.309 -3.44274 0.56071 0.48218
ind262 2.085 -3.863 4.63389 0.48343 0.53974
ind263 2.116 -3.889 2.37239 0.44264 0.54417
ind264 2.074 -4.146 -9.67863 0.52750 0.50024
ind265 2.038 -4.166 -3.69731 0.56387 0.48925
ind266 2.057 -3.994 -4.94958 0.57494 0.51511
ind267 2.138 -3.904 3.57558 0.47494 0.54769
ind268 2.084 -4.227 -15.81420 0.50885 0.49299
ind269 2.076 -3.527 2.06206 0.45793 0.58866
ind270 2.151 -3.906 2.27988 0.44358 0.55072
ind271 2.096 -3.869 2.37649 0.44116 0.54172
ind272 2.049 -4.260 -3.58499 0.55555 0.48101
ind273 2.074 -3.607 1.37589 0.40556 0.57508
ind274 2.058 -4.048 3.26715 0.43999 0.50846
ind275 2.094 -5.325 -1.32732 0.55885 0.39327
ind276 2.098 -3.873 11.96470 0.51833 0.54180
ind277 2.061 -4.043 -3.05177 0.61183 0.50965
ind278 2.103 -3.385 1.95223 0.47126 0.62122
ind279 2.060 -3.825 2.14421 0.43048 0.53862
ind280 2.141 -3.905 4.88801 0.49296 0.54825
ind281 2.139 -4.696 9.47229 0.43462 0.45552
ind282 2.031 -4.116 3.95214 0.43863 0.49339
ind283 2.102 -4.022 2.79166 0.44016 0.52255
ind284 2.077 -4.893 -1.67683 0.56829 0.42444
ind285 2.101 -4.513 -3.83132 0.52985 0.46547
ind286 2.085 -3.608 1.72320 0.43273 0.57784
ind287 2.142 -3.767 2.49102 0.46292 0.56858
ind288 2.134 -3.618 1.69299 0.43736 0.58969
ind289 2.141 -3.760 2.66146 0.46899 0.56931
ind290 2.134 -3.584 1.36936 0.41506 0.59559
ind291 2.035 -4.681 -1.84018 0.56913 0.43469
ind292 2.087 -4.011 2.28324 0.42374 0.52031
ind293 2.094 -4.128 4.52821 0.45610 0.50718
ind294 2.079 -4.303 -9.29088 0.50977 0.48325
ind295 2.073 -4.486 -3.28083 0.53771 0.46200
ind296 2.160 -4.350 2.53590 0.41528 0.49661
ind297 2.046 -4.503 -2.70315 0.54615 0.45435
ind298 2.053 -4.254 -5.63104 0.52788 0.48264
ind299 2.139 -3.839 2.68822 0.46152 0.55718
ind300 2.070 -3.862 -2782.89082 0.53614 0.53604
ind301 2.101 -3.897 1.94193 0.42195 0.53908
ind302 2.112 -4.425 -2.31504 0.60124 0.47728
ind303 2.100 -3.771 2.17515 0.44337 0.55688
ind304 2.056 -3.893 -6.56841 0.57442 0.52823
ind305 2.099 -4.790 -1.62250 0.60027 0.43816
ind306 2.097 -4.460 -2.33500 0.58869 0.47015
ind307 2.046 -4.121 -18.54595 0.51001 0.49636
ind308 2.175 -4.263 6.75523 0.47448 0.51032
ind309 2.119 -4.307 3.14365 0.42553 0.49214
ind310 2.092 -3.916 3.06170 0.45491 0.53430
ind311 2.087 -4.124 2.53330 0.42185 0.50613
ind312 2.078 -4.231 -2.98175 0.58781 0.49102
ind313 2.091 -4.914 -1.49665 0.59449 0.42548
ind314 2.022 -4.397 -2.14240 0.58557 0.45987
ind315 2.086 -4.180 4.73657 0.45141 0.49897
ind316 2.115 -3.647 1.79540 0.43838 0.57999
ind317 2.089 -4.836 -1.82846 0.56566 0.43201
ind318 2.092 -4.224 3.10662 0.42713 0.49521
ind319 2.078 -4.179 6.45185 0.46155 0.49712
ind320 2.083 -4.333 11.42539 0.46141 0.48083
ind321 2.137 -4.228 3.66159 0.44411 0.50542
ind322 2.086 -4.056 -4.46677 0.58116 0.51425
ind323 2.116 -3.899 2.72200 0.45243 0.54262
ind324 2.106 -4.263 3.44433 0.43205 0.49401
ind325 2.117 -4.235 2.86217 0.42562 0.49997
ind326 2.122 -3.746 1.65378 0.42196 0.56650
ind327 2.124 -4.395 2.39131 0.40204 0.48329
ind328 2.036 -4.539 -1.94490 0.58307 0.44859
ind329 2.085 -4.156 -4.75222 0.56090 0.50169
ind330 2.061 -4.730 -1.55960 0.60463 0.43571
ind331 2.089 -4.734 -2.10049 0.55873 0.44134
ind332 2.065 -4.811 -1.91743 0.55296 0.42919
ind333 2.035 -4.652 -2.58275 0.52657 0.43739
ind334 2.086 -5.540 -1.17777 0.55364 0.37661
ind335 2.123 -3.407 2.58138 0.50199 0.62318
ind336 2.104 -3.801 11.20283 0.52743 0.55349
ind337 2.123 -4.467 5.86603 0.43968 0.47530
ind338 2.132 -3.774 2.48756 0.46032 0.56484
ind339 2.068 -3.273 1.84850 0.47095 0.63195
ind340 2.047 -4.804 -1.70959 0.56742 0.42602
ind341 2.119 -3.740 2.19437 0.45033 0.56662
ind342 2.067 -4.808 -1.65179 0.58132 0.42999
ind343 2.087 -4.515 -4.03255 0.52210 0.46225
ind344 2.068 -4.028 -6.86647 0.55503 0.51352
ind345 2.157 -3.836 3.55496 0.48547 0.56225
ind346 2.069 -4.447 5.43214 0.42848 0.46517
ind347 2.084 -3.718 1.99989 0.43782 0.56053
ind348 2.120 -4.191 2.93899 0.43153 0.50579
ind349 2.066 -4.794 -1.63710 0.58484 0.43090
ind350 2.120 -3.927 5.87297 0.49451 0.53998
